wavelength,in,out
5995849.16,-81.64176601704068,-81.64176601702437
2997924.58,-81.64176601418987,-81.6417659412734
1998616.3866666665,-81.64176600036436,-81.64176591124308
1498962.29,-81.64176595994917,-81.64176263726259
1199169.8320000002,-81.64176588542668,-81.64176194387048
999308.1933333332,-81.64176584159136,-81.64176594708488
856549.88,-81.64176600926518,-81.641765791186
749481.145,-81.64176552198307,-81.64171377176703
666205.4622222222,-81.64176505752391,-81.64173534041689
599584.9160000001,-81.6417648424071,-81.64175035644095
545077.1963636363,-81.64176560131327,-81.64176429292999
499654.0966666666,-81.64176431547315,-81.64176517582814
461219.1661538462,-81.64176492693241,-81.64176420445438
428274.94,-81.6417655210818,-81.64176560113629
399723.27733333333,-81.64176089514186,-81.64176164217508
374740.5725,-81.64175628011759,-81.64174515253606
352697.00941176474,-81.64176166413256,-81.64176453062265
333102.7311111111,-81.6417619595158,-81.64167645183994
315571.00842105265,-81.64176350782708,-81.64176013814455
299792.45800000004,-81.64176336194771,-81.64176096341063
285516.62666666665,-81.6417654137548,-81.64175482389336
272538.59818181815,-81.64175050118527,-81.64172934369515
260689.0939130435,-81.64176407511863,-81.64176140462513
249827.0483333333,-81.64176249660395,-81.64172645538369
239833.96639999998,-81.64171095717919,-81.64173326853694
230609.5830769231,-81.64175426665574,-81.64149101029793
222068.48740740743,-81.64175571282169,-81.64168462910351
214137.47,-81.64176483521899,-81.64176279474222
206753.41931034482,-81.64170796290989,-81.64164810883045
199861.63866666667,-81.64170308554694,-81.64163497242129
193414.48903225808,-81.64176179942342,-81.64176370804276
187370.28625,-81.6417244698097,-81.64173012264925
181692.39878787877,-81.6417579463915,-81.64144674956958
176348.50470588237,-81.64171924219673,-81.6408134576765
171309.976,-81.64166194511185,-81.64148024498812
166551.36555555556,-81.64171849659115,-81.64173457636102
162049.9772972973,-81.6417130739658,-81.6416779063432
157785.50421052633,-81.64176443379225,-81.64170879531042
153739.72205128206,-81.64170552309398,-81.64169483281572
149896.22900000002,-81.64154553861061,-81.64152705484591
146240.22341463412,-81.6417619446596,-81.64168960260727
142758.31333333332,-81.6416363148372,-81.64171267773094
139438.35255813954,-81.64176360160039,-81.640965328054
136269.29909090907,-81.6416553295011,-81.64154645888081
133241.09244444445,-81.64170494693431,-81.64169067746712
130344.54695652175,-81.6416612595587,-81.64171480427811
127571.25872340426,-81.64165865846948,-81.64172520983456
124913.52416666666,-81.64176356815798,-81.6417658502304
122364.26857142858,-81.6416920055722,-81.64169403050832
119916.98319999999,-81.64174025657351,-81.64172080496826
117565.66980392157,-81.64156742972781,-81.64109126875331
115304.79153846155,-81.64153582168771,-81.64156267704945
113129.22943396226,-81.64165941049421,-81.641637515587
111034.24370370372,-81.64171095287611,-81.64169377003034
109015.43927272726,-81.6417343005538,-81.64172760004305
107068.735,-81.6412168061471,-81.64133137953309
105190.33614035088,-81.6411689878448,-81.64104509068798
103376.70965517241,-81.64167447729852,-81.64166995426095
101624.5620338983,-81.6417560551931,-81.64150793139322
99930.81933333333,-81.64170741969525,-81.6403337742662
98292.60918032787,-81.641713103755,-81.64175692882114
96707.24451612904,-81.64169099071728,-81.6416592474682
95172.20888888888,-81.64173754331367,-81.64171297181136
93685.143125,-81.6414185747175,-81.64153793474688
92243.83323076923,-81.64153089241299,-81.64142669846555
90846.19939393939,-81.64135454526351,-81.64120801442326
89490.28597014926,-81.64128348825722,-81.6409283261199
88174.25235294118,-81.64143687359865,-81.6414501117934
86896.36463768117,-81.64164866059946,-81.64158031522274
85654.988,-81.64164268293405,-81.64174228101712
84448.57971830986,-81.64133281139692,-81.64136843676451
83275.68277777778,-81.64109162655387,-81.64061294612378
82134.92000000001,-81.64149696382793,-81.64157661179487
81024.98864864865,-81.64164072711296,-81.64167839029088
79944.65546666666,-81.64090317624456,-81.64082916790989
78892.75210526316,-81.64114191337958,-81.64143589436972
77868.17090909091,-81.64174876773163,-81.64122734129697
76869.86102564103,-81.64133579809823,-81.64126145120102
75896.82481012658,-81.6413539871605,-81.64137385768262
74948.11450000001,-81.64161071968456,-81.64159449324114
74022.82913580247,-81.64129212838284,-81.64125664931882
73120.11170731706,-81.64166650513062,-81.6417204357484
72239.14650602409,-81.64088041566359,-81.64105728895942
71379.15666666666,-81.64148279344491,-81.64158255959487
70539.40188235295,-81.64170805207695,-81.6413474267749
69719.17627906977,-81.63865718310055,-81.64084224575035
68917.80643678161,-81.6415933093514,-81.64135019678753
68134.64954545454,-81.6412533234026,-81.64123821191879
67369.09168539326,-81.64086639816409,-81.64092149731653
66620.54622222223,-81.64110602251185,-81.64113046615722
65888.4523076923,-81.64138717522351,-81.64120662050547
65172.273478260875,-81.63975612930707,-81.63953984669064
64471.496344086016,-81.6403649951911,-81.63993666589496
63785.62936170213,-81.64163986798013,-81.64120742713163
63114.20168421053,-81.64173312151442,-81.64056676006703
62456.76208333333,-81.64044716459608,-81.64062308113523
61812.877938144324,-81.64020112799335,-81.64013561105787
61182.13428571429,-81.63986379437844,-81.6398039023571
60564.13292929293,-81.64044679458326,-81.64065692603012
59958.491599999994,-81.64083625059772,-81.64090270678798
59364.84316831683,-81.64105033821639,-81.64083069913471
58782.834901960785,-81.6412316139697,-81.6414298663403
58212.12776699029,-81.63927654625525,-81.63849012704497
57652.395769230774,-81.64039447157447,-81.64040612357718
57103.325333333334,-81.64111863417031,-81.64127745355768
56564.61471698113,-81.64089076333465,-81.63959588799631
56035.973457943925,-81.64125234686927,-81.64101529208423
55517.12185185186,-81.6414524162935,-81.64167991634136
55007.79045871559,-81.64144852638654,-81.64172067947877
54507.71963636363,-81.6413804099424,-81.6412198641896
54016.659099099095,-81.64161155459675,-81.6417063202488
53534.3675,-81.6385422438207,-81.63842449479986
53060.612035398226,-81.64129427051361,-81.63947094208066
52595.16807017544,-81.6406778180041,-81.640680215206
52137.818782608694,-81.64005087553736,-81.63874197097309
51688.354827586205,-81.64123148599279,-81.6412023816766
51246.57401709402,-81.64081050355287,-81.64047483802673
50812.28101694915,-81.64012542600204,-81.641210788412
50385.28705882353,-81.63996487378057,-81.63911309154443
49965.40966666667,-81.64022244696477,-81.6404461118816
49552.47239669421,-81.64089449543098,-81.64044953133492
49146.304590163934,-81.63897227281856,-81.63887326088789
48746.74113821138,-81.6414751535427,-81.64150209484058
48353.62225806452,-81.6381678024683,-81.63699402133508
47966.79328,-81.64064430586112,-81.64073757211511
47586.10444444444,-81.63836725745821,-81.63848802693207
47211.41070866142,-81.63700872231337,-81.63693430060894
46842.5715625,-81.63510075835416,-81.6368861801059
46479.45085271318,-81.64001516128238,-81.63958348296455
46121.916615384616,-81.63827041251935,-81.63878614143968
45769.84091603054,-81.63774005674836,-81.6360989897974
45423.09969696969,-81.63668812578572,-81.62783218648156
45081.57263157894,-81.639336532935,-81.63768870456536
44745.14298507463,-81.63640356197246,-81.63569207682448
44413.69748148148,-81.64165409234252,-81.64166214679452
44087.12617647059,-81.6415525466708,-81.64118766984913
43765.322335766425,-81.6416566380422,-81.6411895105544
43448.18231884058,-81.64102768107594,-81.64046278741716
43135.6054676259,-81.6376359027108,-81.63730079141823
42827.494,-81.64034048994097,-81.64070415274176
42523.75290780142,-81.6380810267571,-81.63783412217137
42224.28985915493,-81.63887358669834,-81.63265268852385
