,width,beta_2 at peak,average beta2,gamma at peak,average gamma,dispersive length,nonlinear length,number of soliton periods,N^2,phi_nonlin,dB squeezing,dB anti-squeezing,dB constructive interference,dB destructive interference,phase offset (rad)
0,1200,-9.208873899899926e-26,1.0549135505946082e-24,2.091580135922764,2.4785970486542803,0.1540733192439422,0.00961149733511467,0.012391563972860464,16.030105806828903,0.31201996893421907,-0.8785515498905792,0.7989053615517605,0.7970043504314733,-0.8767491813898365,-0.6314759102693053
1,1400,-1.1810095084500586e-25,1.4086053157962695e-24,1.8577546434996284,2.198028102024852,0.12013804783998373,0.010838364125562187,0.015891796364672153,11.0845185166495,0.27670034565832147,-0.8784543652152643,0.79883502034068,0.7970043504314733,-0.8767491813898365,1.5471159801597976
2,1600,-1.147051970929683e-25,1.57171070919766e-24,1.6629222062491298,1.9671989920502493,0.12369463670477984,0.012110126644145399,0.015434859932358625,10.21414889699602,0.24764225742954182,-0.8782036335202758,0.7986444962921263,0.7970043504314733,-0.8767491813898365,-0.8209186833500963
3,1800,-1.115002445930893e-25,1.3165032044286939e-24,1.5016605821059907,1.7766035735101697,0.12725010365981088,0.013409310486128735,0.015003597930468675,9.489682843233796,0.2236490163320555,-0.8781476140614919,0.7984963458486078,0.7970043504314733,-0.8767491813898365,2.6837726186445465
4,2000,-9.68722188475751e-26,1.96540833902283e-24,1.3672082313957514,1.617604071486047,0.14646529057923033,0.01472735470186976,0.013035234384691823,9.945118695391736,0.20363324986890302,-0.8778971116835121,0.7983245220053403,0.7970043504314733,-0.8767491813898365,1.2945256160520753
5,2200,-8.34099122510057e-26,1.8120241481294406e-24,1.2540039829189673,1.4835620502010858,0.1701046949895791,0.016057992939853553,0.011223731314642575,10.593147949853963,0.18675927378637633,-0.8778876272865389,0.7981667472136984,0.7970043504314733,-0.8767491813898365,0.6630497057827709
6,2400,-7.504553400795292e-26,1.8450548528176516e-24,1.157691607799414,1.369360606934666,0.18906411780694732,0.017397191658150516,0.010098211199820316,10.867507901390022,0.17238294311190155,-0.8776948479608513,0.7980665406652345,0.7970043504314733,-0.8767491813898365,-1.7681325487540542
7,2600,-6.440452561146056e-26,2.383921351908232e-24,1.0748730186150868,1.2710680540674728,0.2203015634050428,0.018742528263320738,0.00866634517891288,11.754100637328346,0.1600093145268364,-0.8776213405582838,0.7979556516936215,0.7970043504314733,-0.8767491813898365,0.9787876609174235
8,2800,-5.708394212626699e-26,2.1040709216561692e-24,1.0029530878068071,1.185709733979269,0.24855357135603512,0.020091788272677047,0.007681279257047801,12.370903375188595,0.1492639211210552,-0.8775647218042413,0.7979144362322268,0.7970043504314733,-0.8767491813898365,-1.8312801397809846
9,3000,-4.8101106516527045e-26,2.073169483852995e-24,0.9399565966979646,1.110938546086515,0.2949707129437841,0.02144405647988783,0.006472538825527816,13.755359822915697,0.13985129645254019,-0.87754274542021,0.7978309516944159,0.7970043504314733,-0.8767491813898365,-0.5051807282154437
