,width,beta_2 at peak,average beta2,gamma at peak,average gamma,dispersive length,nonlinear length,number of soliton periods,N^2,phi_nonlin,dB squeezing,dB anti-squeezing,dB constructive interference,dB destructive interference,phase offset (rad)
0,1200,-9.208873899899926e-26,1.0549135505946082e-24,2.091580135922764,2.4785970486542803,0.1540733192439422,0.000961149733511467,0.012391563972860464,160.30105806828905,3.1201996893421913,-2.3845616840219748,2.0991035504991986,0.79787795045134,-0.8778592651959238,2.810067800698408
1,1400,-1.1810095084500586e-25,1.4086053157962695e-24,1.8577546434996284,2.198028102024852,0.12013804783998373,0.0010838364125562187,0.015891796364672153,110.845185166495,2.7670034565832142,-2.1736683322573294,1.9344733772031109,0.79787795045134,-0.8778592651959238,-1.0735090474578186
2,1600,-1.147051970929683e-25,1.57171070919766e-24,1.6629222062491298,1.9671989920502493,0.12369463670477984,0.0012110126644145401,0.015434859932358625,102.14148896996019,2.476422574295418,-1.9925778542573236,1.792084481574713,0.79787795045134,-0.8778592651959238,3.0626581648061304
3,1800,-1.115002445930893e-25,1.3165032044286939e-24,1.5016605821059907,1.7766035735101697,0.12725010365981088,0.0013409310486128733,0.015003597930468675,94.89682843233795,2.2364901633205547,-1.8428476948800303,1.6728603779346432,0.79787795045134,-0.8778592651959238,0.47360693270197896
4,2000,-9.68722188475751e-26,1.96540833902283e-24,1.3672082313957514,1.617604071486047,0.14646529057923033,0.001472735470186976,0.013035234384691823,99.45118695391739,2.0363324986890308,-1.7184785984433542,1.5725459091380345,0.79787795045134,-0.8778592651959238,-0.757771092323166
5,2200,-8.34099122510057e-26,1.8120241481294406e-24,1.2540039829189673,1.4835620502010858,0.1701046949895791,0.0016057992939853554,0.011223731314642575,105.93147949853966,1.8675927378637642,-1.6158418151775975,1.4880616646512335,0.79787795045134,-0.8778592651959238,-1.326099411565541
6,2400,-7.504553400795292e-26,1.8450548528176516e-24,1.157691607799414,1.369360606934666,0.18906411780694732,0.0017397191658150514,0.010098211199820316,108.67507901390023,1.7238294311190157,-1.5305202391728858,1.4168733795805388,0.79787795045134,-0.8778592651959238,2.6837726186445465
7,2600,-6.440452561146056e-26,2.383921351908232e-24,1.0748730186150868,1.2710680540674728,0.2203015634050428,0.0018742528263320734,0.00866634517891288,117.54100637328347,1.6000931452683642,-1.4586589246838775,1.356077499077122,0.79787795045134,-0.8778592651959238,-0.757771092323166
8,2800,-5.708394212626699e-26,2.1040709216561692e-24,1.0029530878068071,1.185709733979269,0.24855357135603512,0.0020091788272677048,0.007681279257047801,123.70903375188594,1.4926392112105518,-1.3982701197983693,1.303904262345166,0.79787795045134,-0.8778592651959238,2.7469202096714778
9,3000,-4.8101106516527045e-26,2.073169483852995e-24,0.9399565966979646,1.110938546086515,0.2949707129437841,0.0021444056479887827,0.006472538825527816,137.553598229157,1.3985129645254022,-1.3464239642608837,1.2585831645713998,0.79787795045134,-0.8778592651959238,-2.083870503888707
