,width,beta_2 at peak,average beta2,gamma at peak,average gamma,dispersive length,nonlinear length,number of soliton periods,N^2,phi_nonlin,dB squeezing,dB anti-squeezing,dB constructive interference,dB destructive interference,phase offset (rad)
0,800,3.21261580008956e-25,1.4988763216972651e-24,2.59858602953682,3.227225167979167,0.04416468873174732,0.004921261597390858,0.2881954561057656,8.974261550160726,4.062615571995876,-0.9833408778702939,0.9142579265274587,0.8046802339192133,-0.8860555533037426,-0.757771092323166
1,1000,1.05158270096064e-26,8.847285348974073e-25,2.3586760068002093,2.81949569999683,1.3492441126697408,0.005632929067892173,0.009433476487535047,239.5279785006461,3.5493424040055936,-0.9749311304409278,0.9040308465058838,0.8046802339192133,-0.8860555533037426,-0.6946235012962356
2,1200,-9.208874169530118e-26,1.0549135505424353e-24,2.0915801359227646,2.4785970486542803,0.1540733147327698,0.006407664890076445,0.08261042890451915,24.045158006215843,3.120199689342191,-0.960042322756671,0.8877371685019202,0.8046802339192133,-0.8860555533037426,-0.6314759102693053
3,1400,-1.1810095354130778e-25,1.408605316010523e-24,1.8577546434996284,2.198028102024852,0.12013804509717396,0.007225576083708125,0.1059453115165971,16.62677739537687,2.767003456583215,-0.9468230523836862,0.8733374007815436,0.8046802339192133,-0.8860555533037426,-0.568328319242374
4,1600,-1.1470519978927021e-25,1.571710709537949e-24,1.6629222062491298,1.9671989920502493,0.12369463379716895,0.0080734177627636,0.1028990686345069,15.32122298534781,2.4764225742954182,-0.9363258921075347,0.8617364584829341,0.8046802339192133,-0.8860555533037426,-0.5051807282154437
5,1800,-1.115002445930893e-25,1.3165032047417905e-24,1.501660582105991,1.7766035735101697,0.12725010365981088,0.008939540324085822,0.1000239862031245,14.234524264850695,2.236490163320555,-0.9283142843094392,0.8530412997823865,0.8046802339192133,-0.8860555533037426,-0.44203313718851334
6,2000,-9.687222693648086e-26,1.9654083391146777e-24,1.3672082313957514,1.617604071486047,0.14646527834926545,0.009818236467913173,0.08690156982096035,14.917676797449966,2.03633249868903,-0.9220086351269562,0.8460600041663359,0.8046802339192133,-0.8860555533037426,-0.44203313718851334
7,2200,-8.340991764360954e-26,1.8120241483024803e-24,1.2540039829189673,1.4835620502010858,0.1701046839919992,0.010705328626569035,0.07482488026851597,15.889720897481341,1.8675927378637638,-0.9170920231278767,0.8405231542570956,0.8046802339192133,-0.8860555533037426,-0.378885546161583
8,2400,-7.504553940055676e-26,1.8450548532465984e-24,1.157691607799414,1.369360606934666,0.1890641042212246,0.011598127772100343,0.06732141283636757,16.301260680712986,1.7238294311190157,-0.9132643806110847,0.8361504228260673,0.8046802339192133,-0.8860555533037426,-0.378885546161583
9,2600,-6.440454178927209e-26,2.3839213519502775e-24,1.0748730186150868,1.2710680540674728,0.22030150806737447,0.012495018842213823,0.05777564903878226,17.631146527214216,1.6000931452683642,-0.9101484765405448,0.832609470172681,0.8046802339192133,-0.8860555533037426,-0.31573795513465264
10,2800,-5.708394482106428e-26,2.1040709216700077e-24,1.0029530878068071,1.185709733979269,0.24855355962241207,0.01339452551511803,0.05120853079775164,18.556354186781498,1.492639211210552,-0.9074978245621228,0.82968561006791,0.8046802339192133,-0.8860555533037426,-0.31573795513465264
11,3000,-4.810111190913089e-26,2.0731694840375007e-24,0.9399565966979645,1.110938546086515,0.2949706798746899,0.014296037653258552,0.04315026367441757,20.63303742120853,1.3985129645254022,-0.905389813464592,0.8271611426862977,0.8046802339192133,-0.8860555533037426,-0.31573795513465264
12,3200,-4.369667048556391e-26,2.209673330986909e-24,0.8843688246032193,1.0448675112736143,0.32470248934074547,0.01520003169200864,0.039199153165278486,21.361961337979086,1.3153389680060166,-0.9035633975450448,0.82516907505591,0.8046802339192133,-0.8860555533037426,-0.2525903641077214
13,3400,-3.670985100730282e-26,1.8131082804175418e-24,0.8349482648489458,0.9862959374231203,0.38650164174576274,0.016102691578355106,0.03293145807951701,24.002300476604173,1.2416057217601941,-0.9020708816100083,0.8233553471804316,0.8046802339192133,-0.8860555533037426,-0.2525903641077214
14,3600,-3.0327031925170844e-26,1.8209490239130144e-24,0.7907372647182788,0.9337757314598745,0.46784722347948504,0.017008387292823536,0.027205596130620634,27.50685384950559,1.1754902834239465,-0.9006208504457489,0.8218798985141227,0.8046802339192133,-0.8860555533037426,-0.2525903641077214
15,3800,-2.6081023995833454e-26,1.951715669342515e-24,0.7509798394624869,0.8866132608966475,0.5440130604086533,0.017913130770509083,0.0233966122123134,30.369513145311153,1.1161194687609146,-0.8996010060038749,0.820487143735489,0.8046802339192133,-0.8860555533037426,-0.2525903641077214
16,4000,-2.3172582250505093e-26,1.9724470820678958e-24,0.7149842364111462,0.843922627725841,0.6122933356836231,0.018819283620948965,0.020787524330318333,32.53542207111644,1.0623780587040874,-0.8986227604643409,0.819422991842737,0.8046802339192133,-0.8860555533037426,-0.2525903641077214
17,4200,-1.9897574655266027e-26,1.9466190916664085e-24,0.6822869563412309,0.8051202891285526,0.7130727200870092,0.01972626885666928,0.01784959970318596,36.14838291357494,1.0135314561864481,-0.8976497041255959,0.8184017433511738,0.8046802339192133,-0.8860555533037426,-0.18944277308079105
18,4400,-1.565826136373962e-26,1.937798196959297e-24,0.6524588588193537,0.7697194529573765,0.9061298283998179,0.020633516827836495,0.014046621371346133,43.91543312564953,0.9689668594183977,-0.8969345990686329,0.8174335270848054,0.8046802339192133,-0.8860555533037426,-0.18944277308079105
19,4600,-1.409787667685584e-26,1.8793249838722063e-24,0.6250970059146614,0.73730087938228,1.0064223150609395,0.02154075728027788,0.012646840617841819,46.721770361452975,0.9281565053300426,-0.8962962277488905,0.8167025595446449,0.8046802339192133,-0.8860555533037426,-0.18944277308079105
20,4800,-1.1190909746988949e-26,1.998730481442585e-24,0.5999683874500688,0.7075385886036878,1.2678520337796888,0.022446859494479242,0.010039075754660821,56.48237937656777,0.8906900319103737,-0.8956780393495546,0.8160134167668714,0.8046802339192133,-0.8860555533037426,-0.18944277308079105
21,5000,-7.753850372308687e-27,1.9384809918293982e-24,0.5767896091390341,0.680010893282323,1.8298544595644963,0.02335553656890512,0.006955778666596442,78.34778079989441,0.8560365950249135,-0.895061947853189,0.8153410973655502,0.8046802339192133,-0.8860555533037426,-0.18944277308079105
